Month,Albd,AirTemp,LSTday,LSTNight,PCP,WS,RH,SW,LW,SH,LH,SCA% 
11/1/2012,0.279571277,-0.096872806,11.3758459,-0.705295429,34.46202603,0.753182697,42.90228878,116.2837791,-85.10929179,-18.86032527,-18.51819515,24.3760545
12/1/2012,0.638568986,-6.753705937,3.267809883,-4.925965719,78.87182747,1.17543861,45.85469196,48.66890888,-49.39170034,-1.352634159,-5.497754603,78.73287661
1/1/2013,0.689068861,-9.905174258,0.626545226,-7.434105351,52.40131541,1.288109289,42.73394891,48.8294675,-49.79386147,-0.019768196,-3.681465975,87.52223363
2/1/2013,0.76091801,-6.172773052,3.314309045,-4.907399666,192.8467729,0.953723803,59.14817337,41.21487538,-40.44391575,-0.354435617,-3.238586293,95.71134465
3/1/2013,0.652198258,-1.04940901,13.07128141,0.948511706,99.57280988,0.96532017,48.86620888,81.64110084,-55.69548007,-4.961598493,-12.96460215,83.42794138
4/1/2013,0.464407253,3.400975283,18.42340592,3.663511706,107.7605142,0.700110669,61.56252446,143.4761069,-67.99373183,-19.02710744,-35.73798545,58.06769018
5/1/2013,0.320534419,9.376941251,26.90509213,10.11064381,70.09483987,0.782067843,49.52379045,215.3327575,-91.69927052,-30.94168498,-70.02056481,32.35104855
6/1/2013,0.216962503,15.00122952,30.84144054,14.72408027,108.7608952,0.50194372,48.87923903,242.0733816,-98.5568675,-42.98378287,-78.2204256,14.40370577
7/1/2013,0.169618791,17.39412018,30.64093802,15.92038043,104.4515602,0.545380581,52.66677923,232.0592987,-94.4864665,-47.94926674,-76.62196649,2.635793114
8/1/2013,0.159592845,16.15100518,24.79326214,13.2034699,175.5503722,0.435239861,61.95861072,195.0956176,-81.92185528,-39.2914848,-69.86869974,0.789757443
9/1/2013,0.149495114,13.60831121,26.38727387,12.68643813,47.33926513,0.331341095,45.12056901,203.5788018,-103.0373161,-41.51803788,-58.4723365,0.763599565
10/1/2013,0.177194274,8.797599851,21.28477387,7.051571906,39.17438956,0.409994011,41.77287353,164.2274186,-99.66034724,-32.03601052,-37.48591862,6.554171432
11/1/2013,0.395048529,-2.018475608,12.16829564,0.547951505,38.37601099,0.953994732,39.12429447,94.9337124,-73.23078928,-11.42584084,-17.71442938,43.03070116
12/1/2013,0.459617316,-5.756126388,5.812910385,-4.637107023,49.964367,1.022603336,49.67417035,73.73004824,-63.69404707,-9.206428038,-9.197336855,53.34436726
1/1/2014,0.63334709,-8.149969088,1.63150335,-6.714954013,41.49083608,1.126588897,50.26370067,55.964666,-51.72054975,-3.505739208,-5.184066083,79.87689552
2/1/2014,0.743154966,-8.03732093,1.875205193,-7.105062709,125.7727425,1.016735909,55.12902295,48.28143317,-46.7079263,-1.097304218,-4.170956391,93.66061222
3/1/2014,0.632793162,-2.155556131,9.928479899,-1.334627926,192.3709571,0.764897692,64.5090469,80.82146616,-51.71262915,-9.779144861,-14.89989787,76.71694088
4/1/2014,0.489176958,3.117460641,18.96480737,4.166337793,102.7565625,0.835676636,55.79178392,141.520472,-69.03791843,-17.98212812,-35.94102399,59.75269674
5/1/2014,0.31996259,8.374962696,23.77048576,7.910372074,124.0632124,0.469622,63.29065293,194.4814724,-78.04475628,-29.6815667,-61.41680556,34.97701683
6/1/2014,0.216222556,14.38124054,31.02417504,14.2292893,49.86185301,0.625689025,46.84612513,254.1454633,-105.2234595,-42.45939875,-83.40522784,14.55950544
7/1/2014,0.166507385,17.15700461,29.90214824,15.23678094,111.8355481,0.55266688,52.50513032,234.0361935,-97.08711089,-49.04015717,-75.8918034,1.901385924
8/1/2014,0.161534737,15.95250042,28.64871441,13.89268395,91.40588873,0.405301767,50.55155678,224.0997342,-100.8742402,-48.36068301,-70.68437612,1.090466928
9/1/2014,0.157696571,13.35007688,26.52823283,12.06764214,99.59704838,0.37599177,46.16485729,197.9807169,-101.0883204,-39.74094652,-56.1827449,2.167643171
10/1/2014,0.224925815,6.450613683,17.98413735,5.256220736,54.84332816,0.509900179,52.14011843,150.1201724,-89.41526131,-30.77252504,-35.33418959,14.14975978
